Type,Time,x,y,z,Action
Gyro,3.777959,-92.467712,-28.358763,-10.523164,Neutral
Accel,3.799114,4092.000000,-12822.000000,-3570.000000,Neutral
Gyro,3.799114,-92.427589,-29.729389,-8.655691,Neutral
Accel,3.819526,5718.000000,-8471.000000,-7152.000000,Neutral
Gyro,3.819526,-90.633629,-29.914373,-8.382394,Neutral
Accel,3.853738,5673.000000,-2032.000000,-7654.000000,Neutral
Gyro,3.853738,-88.575310,-28.812115,-11.898615,Neutral
Accel,3.869486,5467.000000,5800.000000,-7117.000000,Neutral
Gyro,3.869486,-85.923553,-27.509693,-16.549047,Neutral
Accel,3.899222,4230.000000,7259.000000,-5387.000000,Neutral
Gyro,3.899222,-85.370163,-25.599867,-22.860855,Neutral
Accel,3.914227,2872.000000,-922.000000,-4129.000000,Neutral
Gyro,3.929685,-86.152161,-25.121622,-24.496075,Neutral
Accel,3.945838,1361.000000,-5271.000000,-2315.000000,Neutral
Gyro,3.945838,-86.640671,-26.101099,-23.518412,Neutral
Accel,3.96229,1827.000000,-2796.000000,997.000000,Neutral
Gyro,3.996197,-85.609993,-27.330915,-22.678555,Neutral
Accel,3.996197,2058.000000,1692.000000,2875.000000,Neutral
Gyro,3.996197,-84.220360,-29.103180,-23.904205,Neutral
Accel,4.012162,801.000000,5616.000000,3301.000000,Neutral
Gyro,4.020532,-82.389893,-29.692652,-25.677214,Neutral
Accel,4.04898,44.000000,8065.000000,3140.000000,Neutral
Gyro,4.04898,-81.545135,-29.693687,-27.682423,Neutral
Accel,4.070838,-196.000000,10987.000000,1914.000000,Neutral
Gyro,4.070838,-80.497620,-29.469624,-28.519312,Neutral
Accel,4.086833,660.000000,13418.000000,954.000000,Neutral
Gyro,4.102615,-79.868225,-28.983479,-29.443720,Neutral
Accel,4.119627,1873.000000,12949.000000,597.000000,Neutral
Gyro,4.119627,-79.022354,-28.722330,-29.823835,Neutral
Accel,4.13543,585.000000,11949.000000,596.000000,Neutral
Gyro,4.152065,-78.592079,-28.352009,-29.510475,Neutral
Accel,4.168316,2665.000000,9120.000000,3895.000000,Neutral
Gyro,4.168316,-77.359467,-28.220663,-28.681606,Neutral
Accel,4.204429,6113.000000,7274.000000,6579.000000,Neutral
Gyro,4.204429,-76.612480,-28.395962,-27.030970,Neutral
Accel,4.219257,8344.000000,-6753.000000,7436.000000,Neutral
Gyro,4.219257,-75.965538,-28.609283,-25.352285,Neutral
